probe_set	_23_1CON	_23_2CON	_23_3NO0	_23_4NO7	_26_1CON	_26_2CON	_26_3NO0	_26_4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
Probe_21897	7.393562	7.277464	7.305615	7.268369	7.483477	7.634354	7.728723	7.58403	6.987992	6.675562	6.713847	6.820294
Probe_21898	7.80486	6.691576	7.815639	7.738113	8.482518	7.75464	7.28702	7.797383	7.476009	8.085648	7.877996	7.844404
Probe_21899	7.421408	7.270772	7.524416	7.412002	6.778958	7.285698	7.230213	7.146716	7.295218	7.494656	7.988736	7.40458
Probe_21900	8.373174	7.787132	8.666299	8.038623	8.899593	8.188505	9.219171	8.275962	7.705549	8.576779	6.711701	8.893268
Probe_21901	8.50595	8.619835	8.675819	8.607623	8.82794	8.779178	9.069377	9.174873	8.287158	8.435699	7.703198	8.4137
Probe_21902	6.1569	5.901166	5.849506	6.182134	5.149113	6.685253	5.998951	6.182968	6.882716	6.353851	6.528896	6.280598
Probe_21903	7.255359	7.463475	7.233025	7.253403	6.299071	7.239618	6.82806	6.312456	7.577867	7.524777	6.468896	7.406128
Probe_21904	3.340989	3.375067	4.060186	4.054788	5.696998	5.41961	4.736839	5.154697	4.358115	5.383072	6.476024	4.785687
Probe_21905	7.196027	6.690627	6.506773	6.74877	6.507547	6.544192	6.781543	6.507354	7.242164	6.80395	6.928122	6.57724
Probe_21906	8.371716	8.23173	8.065648	7.956231	7.46952	7.837811	7.7143	7.711984	8.289853	8.345374	7.452093	8.011009
Probe_21907	5.383404	5.852126	5.272464	7.215164	6.387173	7.466358	5.925722	7.717279	7.615777	7.476114	6.768872	7.466815
Probe_21908	8.033473	7.705681	7.857975	7.891176	8.353936	7.759868	7.876953	7.505613	7.684188	7.325476	8.534283	7.426005
Probe_21909	7.219701	6.943019	6.374747	6.369163	6.382164	5.588403	5.954801	6.063973	6.647113	6.110142	6.371843	6.43705
Probe_21910	8.439956	9.090078	8.809848	9.093866	9.212788	9.543014	9.139352	9.410171	9.16457	9.127814	8.337109	9.014258
Probe_21911	8.868761	9.11368	9.053035	9.12318	8.942438	9.40211	9.09903	9.186753	9.095307	9.149544	8.65814	9.163662
Probe_21912	8.818173	7.516157	8.781904	8.722323	5.773685	8.220311	8.460075	8.064732	8.24214	7.33772	8.826946	7.198641
Probe_21913	6.161311	6.166748	7.11573	6.27494	7.00367	6.416688	6.450137	5.86779	5.568582	7.316481	5.689129	7.095112
Probe_21914	7.309649	7.023422	7.890337	7.379248	8.392025	7.610242	8.155673	7.933283	6.611265	7.686956	6.607008	7.619941
Probe_21915	7.047429	7.922323	7.919185	7.634412	7.28714	7.809665	7.480798	7.31457	7.745009	7.789814	7.874809	7.700585
Probe_21916	6.051207	5.925273	5.887796	5.413432	3.075	5.33851	4.905216	5.366955	5.098912	4.870162	3.252731	4.884085
Probe_21917	6.6963	6.70436	6.319981	6.634235	6.69976	6.334967	6.218235	6.958309	6.445694	6.748475	6.627451	6.735834
Probe_21918	2.954892	2.57825	5.1414	3.939076	6.03008	5.80506	6.108671	4.42562	4.733804	6.397105	3.553127	6.512039
Probe_21919	7.65202	7.861267	7.848973	8.078508	7.65387	7.789612	7.275333	8.184042	7.94818	8.17009	7.03145	7.711977
Probe_21920	7.504875	8.20108	7.834844	7.969438	7.338317	6.885526	7.057775	4.648788	7.418316	6.79591	6.397962	6.396738
Probe_21921	9.962783	9.814398	10.09245	9.845143	10.1949	9.941467	10.2961	10.20834	10.23464	10.61496	10.23135	10.55086
Probe_21922	7.53711	7.786387	7.099485	7.521161	7.432141	7.902062	6.911751	7.36111	7.363434	7.088396	7.55498	7.302036
Probe_21923	5.166266	5.180856	4.808905	5.457683	2.327963	5.341769	5.755582	5.343337	4.333209	3.081019	4.572923	3.505561
Probe_21924	6.987832	6.022627	7.058241	6.383962	6.201348	5.302378	6.764208	6.191359	5.431098	6.334457	5.634227	6.201565
Probe_21925	6.824577	7.129262	6.263457	6.855043	6.300334	6.352241	5.790793	6.335974	6.88605	6.04294	6.616255	6.651224
Probe_21926	5.586534	7.082756	6.576566	6.929235	5.800056	7.177848	6.379536	6.964387	6.921639	6.493396	5.635203	5.889919
Probe_21927	7.070153	9.010402	8.490273	8.696502	9.464002	9.564691	9.589001	7.700571	6.748891	4.975075	6.792842	5.503279
Probe_21928	6.997168	6.417525	7.336712	6.69933	6.792595	6.443293	7.410214	6.947257	5.874067	7.20462	5.608383	6.799411
Probe_21929	7.06923	7.213454	7.284671	7.683549	7.166364	7.386276	7.51199	7.759442	7.904087	7.280307	7.597844	7.338603
Probe_21930	7.971946	8.357952	7.918863	8.20348	7.393914	8.160532	7.955871	7.918285	8.568914	8.107044	7.812838	8.210048
Probe_21931	4.777488	4.723624	5.432722	5.340883	5.134237	5.003332	5.329594	5.583838	4.926792	6.029049	4.595122	5.694139
Probe_21932	6.866896	6.585903	6.822883	6.290614	7.046578	6.525267	6.948788	6.9194	6.76442	6.996072	4.986347	6.877658
Probe_21933	6.848448	6.844109	6.573015	6.381181	6.118746	6.308548	6.724159	6.343738	6.448313	6.629846	5.940014	6.345943
Probe_21934	5.272979	5.973687	6.174694	5.940778	5.201422	5.784726	6.485071	5.662881	6.001226	6.640872	5.299651	6.327869
Probe_21935	9.096338	9.7244	9.770697	9.846772	9.330034	9.779105	9.718355	9.692694	9.805407	9.657628	9.587905	9.962147
Probe_21936	8.43361	8.752076	8.882151	8.516389	8.506863	8.407574	8.561708	8.498183	8.824243	9.073467	7.882826	8.837183
Probe_21937	8.10865	7.786975	7.909653	7.527891	6.306516	7.057948	7.086476	7.386509	7.638038	7.980254	6.915772	7.380513
Probe_21938	4.768391	5.021351	5.995385	5.643097	5.488615	5.243189	5.424102	4.868593	5.085178	4.481066	5.47442	5.602092
Probe_21939	8.610106	8.583433	8.519428	8.05928	8.358998	8.610276	8.236282	8.364984	7.972618	8.14109	7.472455	8.178012
Probe_21940	7.286632	6.456034	7.20761	6.229947	7.129056	6.108269	7.524824	6.088483	6.797804	6.483064	5.287118	7.137801
Probe_21941	6.252056	5.828017	6.517561	6.276882	5.99954	5.875043	6.701715	6.406183	6.198447	6.822118	4.852753	6.708794
Probe_21942	7.596712	7.482768	7.645413	7.527641	7.041703	7.651963	7.703385	6.935436	7.696369	7.258114	7.136273	7.358783
